"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 16 22:28:41 GMT 2022","Sat Apr 16 22:28:42 GMT 2022","758","Users","Users","test.java.tests.Users","test.java.tests.Users","searchAllUsers","searchAllUsers",""
"passed","Sat Apr 16 22:28:43 GMT 2022","Sat Apr 16 22:28:44 GMT 2022","772","Users","Users","test.java.tests.Users","test.java.tests.Users","searchNonexistentUser","searchNonexistentUser",""
"passed","Sat Apr 16 22:28:38 GMT 2022","Sat Apr 16 22:28:39 GMT 2022","791","Users","Users","test.java.tests.Users","test.java.tests.Users","deleteUser","deleteUser",""
"passed","Sat Apr 16 22:28:39 GMT 2022","Sat Apr 16 22:28:41 GMT 2022","2385","Users","Users","test.java.tests.Users","test.java.tests.Users","editUser","editUser",""
"passed","Sat Apr 16 22:28:35 GMT 2022","Sat Apr 16 22:28:38 GMT 2022","3361","Users","Users","test.java.tests.Users","test.java.tests.Users","createUser","createUser",""
"passed","Sat Apr 16 22:28:42 GMT 2022","Sat Apr 16 22:28:43 GMT 2022","778","Users","Users","test.java.tests.Users","test.java.tests.Users","searchExistentUser","searchExistentUser",""
